order_month_cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2016-09,100.0,,,,,,,,,,,,,,,,,,,,
2016-10,100.0,,,,,,0.19592021241764487,,,0.6268918710538712,,0.09994923325313457,,0.2878601288109386,,0.6706702689229352,,0.20519693765970226,,0.6759687400763684,0.31926369205919364
2016-12,100.0,100.0,,,,,,,,,,,,,,,,,,,
2017-01,100.0,0.12453991929801567,0.08361955595318386,0.06539384628596853,0.1795232402220708,0.0505435380491215,0.32691819944277445,0.07667191542804136,0.034300785593699215,,0.3113315725353719,0.04855329055346158,0.402751732226124,0.25636283217905054,0.06830995983272298,0.07626365953149575,0.15991237662014715,0.2583895310940449,,0.03712941573405103,
2017-02,100.0,0.18738261280748206,0.1994444160753814,0.04149805569393483,0.40262865524454794,0.025937595494372984,0.240788684651441,0.09587228734815402,0.1623887109909801,0.13468605880281134,0.11996094226625381,0.15881665566214986,0.09759889726248096,0.13879636904420503,0.06349310871186897,0.04781031785036087,0.10194687850422736,0.18739659345456167,,,
2017-03,100.0,0.4160823548067946,0.4026724570226684,0.42561647919505935,0.28140386539318457,0.33226643707499925,0.1597551141722406,0.20570806381312542,0.3355348823430404,0.05516022950234537,0.2557036861827079,0.08815530038553514,0.219683564891863,0.055303948372287595,0.15934481997901845,0.16633141149524253,0.047260327748101245,0.10960881879384773,,,
2017-04,100.0,0.7165937743347877,0.22944664126129874,0.1849944043712562,0.4626995007315259,0.2948208788831111,0.5084229169080118,0.2675454216025916,0.23520232636056929,0.1219502554606788,0.16897656940868253,0.08372948094602285,0.11922734551121461,0.06627699450469926,0.07364300269236261,0.06651854296795817,0.25021736921809834,,,,
2017-05,100.0,0.3410072599786097,0.5241366778751544,0.3508807551761214,0.2186674618690451,0.29218009028105135,0.5203510924038184,0.1046232581037125,0.2793624420192416,0.24031929004441782,0.25106346990033673,0.24750157811594342,0.20186462453831994,0.010725251928562217,0.13823581564783802,0.17717916582387205,,,,,
2017-06,100.0,0.804865787490562,0.414528869249336,0.2883637097957461,0.2766470225529428,0.3275460987153939,0.34007770238157614,0.16557089583742302,0.06967233598992063,0.114792548033991,0.4725408578973289,0.43584144889484056,0.10331128109127491,0.18303022869090135,0.45975170039857255,,,,,,
2017-07,100.0,0.5339307375761464,0.317304925609737,0.20107304688944785,0.212208993619419,0.3244187853961692,0.4439754502107284,0.04353522210049309,0.07198370562677792,0.3601463246706832,0.20223811314633117,0.21994538134609637,0.24507777330241629,0.17072220144520733,,,,,,,
2017-08,100.0,0.76978015878043,0.33931997447507833,0.15445320722552142,0.28290288913293005,0.4432838406266128,0.2838604009831287,0.29681801762683413,0.274014317283471,0.18342060467771482,0.22227670956852552,0.27790677801631336,0.08111601979282031,,,,,,,,
2017-09,100.0,0.5164621835864123,0.4491743165051001,0.25310151395725033,0.45533065672258244,0.29016516605521026,0.15063980210287714,0.1362425470458995,0.1719033100617463,0.09820223574791716,0.18869704968756504,0.04605258626695224,,,,,,,,,
2017-10,100.0,0.5879639190781146,0.217451606528092,0.07653498411715821,0.19674791549940737,0.18630675579420192,0.15454266000366043,0.3239366159813706,0.31086234161219867,0.26789626152761725,0.1270762307601355,,,,,,,,,,
2017-11,100.0,0.6957363706501802,0.354795603568507,0.13975582932749964,0.20655393450054785,0.1632109556333634,0.09760997998830052,0.16851794279267648,0.11777773693566085,0.05841905972141607,,,,,,,,,,,
2017-12,100.0,0.28397974870246057,0.22771009091634298,0.2844037192687659,0.23205638135863474,0.24339226476833964,0.14906473514203442,0.033747109657642105,0.216574350036542,,,,,,,,,,,,
2018-01,100.0,0.3419516626014564,0.35594237714974075,0.3147307685635835,0.2452071835611581,0.1460890248824605,0.12830944621004386,0.15133174476649677,,,,,,,,,,,,,
2018-02,100.0,0.35963503929333396,0.43584994711682773,0.3625385624817428,0.23149878991189105,0.31431411276198074,0.17833793863227554,,,,,,,,,,,,,,
2018-03,100.0,0.3919066431615432,0.32323027240104707,0.287847742071114,0.13763840447050524,0.04582157144793177,,,,,,,,,,,,,,,
2018-04,100.0,0.44927408592283596,0.325985706389482,0.16654200928909743,0.07493741666522354,,,,,,,,,,,,,,,,
2018-05,100.0,0.7465016711079714,0.24081217231507077,0.1683097267351637,,,,,,,,,,,,,,,,,
2018-06,100.0,0.31488068754797904,0.19081307822524804,,,,,,,,,,,,,,,,,,
2018-07,100.0,0.43728921728233855,,,,,,,,,,,,,,,,,,,
2018-08,100.0,0.016984116565605938,,,,,,,,,,,,,,,,,,,
